hour,dayOfWeek,month,temperature,previousConsumption,energyConsumption
5,6,1,3.29,0.8504,0.9014
6,6,1,3.82,2.9681,3.4045
7,6,1,3.54,3.6975,4.1243
8,6,1,4.67,4.0409,3.948
9,6,1,9.42,2.2183,2.3986
10,6,1,9.25,2.599,2.5393
11,6,1,4.07,2.0654,2.3017
12,6,1,4.81,2.2962,2.6361
13,6,1,4.66,2.2029,2.5055
14,6,1,10.46,2.055,2.3385
15,6,1,8.55,2.0436,2.2533
16,6,1,4.73,1.8997,2.2239
17,6,1,4.47,1.944,2.2587
18,6,1,5.94,4.409,4.7473
19,6,1,5.7,4.6688,4.5549
20,6,1,3.56,3.5908,4.0515
21,6,1,10.63,4.1234,4.2763
22,6,1,5.77,1.1546,1.2485
23,6,1,5.52,1.2873,1.2662
0,0,1,5.53,1.1502,1.3224
1,0,1,6.85,1.3764,1.316
2,0,1,4.06,1.253,1.2805
3,0,1,4.42,1.0479,1.0948
4,0,1,5.31,1.2281,1.303
5,0,1,4.53,1.1203,1.2402
6,0,1,4.26,5.1063,5.4708
7,0,1,8.45,4.9166,5.3251
8,0,1,4.34,5.2723,5.3409
9,0,1,4.33,4.006,3.877
10,0,1,10.46,3.2118,3.3558
11,0,1,10.49,3.6676,3.6282
12,0,1,6.41,3.278,3.6117
13,0,1,8.98,3.2141,3.25
14,0,1,6.62,3.1251,3.5961
15,0,1,10.64,3.2682,3.151
16,0,1,4.87,3.925,3.8855
17,0,1,8.02,3.7711,3.7374
18,0,1,2.97,5.9197,6.1153
19,0,1,3.66,5.9079,6.6812
20,0,1,7.31,6.2374,6.613
21,0,1,5.61,6.9798,6.9117
22,0,1,8.23,2.122,2.0478
23,0,1,6.18,1.5756,1.8162
0,1,1,5.74,1.1823,1.1766
1,1,1,6.63,1.1863,1.1521
2,1,1,5.47,1.0464,1.1339
3,1,1,4.7,0.9687,1.1014
4,1,1,7.0,1.0954,1.1821
5,1,1,7.96,1.2605,1.2153
6,1,1,5.4,5.0638,5.4728
7,1,1,7.66,6.0203,5.7874
8,1,1,6.11,5.828,5.9627
9,1,1,0.99,3.5285,3.5741
10,1,1,7.22,3.5138,3.4616
11,1,1,4.5,3.2519,3.4652
12,1,1,7.88,3.8756,3.8515
13,1,1,4.17,4.0187,3.9175
14,1,1,6.06,3.2961,3.783
15,1,1,7.28,3.2488,3.156
16,1,1,6.06,2.8838,3.2823
17,1,1,5.39,3.3508,3.2465
18,1,1,6.04,4.9162,5.7764
19,1,1,6.66,6.7339,6.6652
20,1,1,2.04,6.069,7.0451
21,1,1,6.5,7.1991,7.1674
22,1,1,7.18,1.8553,2.1622
23,1,1,3.46,1.7306,1.82
0,2,1,7.71,1.2625,1.2374
1,2,1,3.81,1.1264,1.2676
2,2,1,4.28,1.3185,1.2605
3,2,1,2.24,1.043,1.0717
4,2,1,5.95,1.3,1.3106
5,2,1,6.86,0.9598,1.0824
6,2,1,2.86,5.4824,5.4453
7,2,1,4.62,4.9187,5.5956
8,2,1,7.64,5.0576,5.2378
9,2,1,7.13,3.7636,3.6254
10,2,1,7.77,3.2644,3.507
11,2,1,10.9,2.7884,3.1801
12,2,1,7.32,3.1211,3.336
13,2,1,7.67,3.3687,3.6131
14,2,1,5.33,3.1573,3.2628
15,2,1,4.77,2.904,3.1103
16,2,1,8.87,3.1534,3.2695
17,2,1,5.7,3.5948,3.6697
18,2,1,5.37,6.2598,6.2133
19,2,1,7.13,6.2345,6.393
20,2,1,10.2,6.5025,6.5199
21,2,1,5.18,6.8042,7.1568
22,2,1,4.66,1.9572,2.1439
23,2,1,3.3,1.7439,1.9972
0,3,1,6.33,1.1182,1.2985
1,3,1,4.43,1.0193,1.1522
2,3,1,6.87,1.0831,1.2699
3,3,1,1.02,1.2043,1.3027
4,3,1,6.79,1.0741,1.229
5,3,1,-0.93,1.6769,1.5984
6,3,1,5.87,5.185,5.2505
7,3,1,1.88,5.2352,5.352
8,3,1,4.83,4.8858,5.116
9,3,1,6.34,3.2749,3.2194
10,3,1,10.26,3.6102,3.547
11,3,1,9.67,3.0059,3.1989
12,3,1,6.11,3.1506,3.1472
13,3,1,7.52,3.0578,3.4742
14,3,1,5.12,3.3,3.842
15,3,1,3.87,3.1525,3.3253
16,3,1,7.3,3.029,3.4944
17,3,1,1.63,3.7034,3.7886
18,3,1,4.64,6.783,6.7655
19,3,1,5.41,6.0271,6.2919
20,3,1,6.33,6.661,7.0374
21,3,1,5.59,6.7034,7.0491
22,3,1,4.39,2.0828,2.0418
23,3,1,2.51,1.912,1.9994
0,4,1,3.22,1.21,1.1708
1,4,1,5.1,1.0161,1.1071
2,4,1,6.48,1.1009,1.0631
3,4,1,6.1,1.1099,1.1446
4,4,1,4.86,1.1254,1.1361
5,4,1,5.38,1.304,1.3388
6,4,1,7.5,6.0243,5.8451
7,4,1,0.18,6.1506,6.1114
8,4,1,2.86,4.9731,4.9906
9,4,1,2.65,3.4766,3.5446
10,4,1,10.22,3.5462,3.907
11,4,1,10.64,3.4106,3.71
12,4,1,3.7,3.1314,3.1144
13,4,1,5.96,3.6851,3.9079
14,4,1,3.45,3.4557,3.4257
15,4,1,9.55,3.5835,3.5466
16,4,1,6.08,3.2332,3.771
17,4,1,1.63,2.721,3.1209
18,4,1,5.47,6.8651,6.8327
19,4,1,3.39,6.9434,6.8735
20,4,1,5.48,5.93,6.0859
21,4,1,4.12,5.4574,5.727
22,4,1,3.76,1.6505,1.7742
23,4,1,4.18,1.869,2.0824
0,5,1,0.17,0.8261,0.8094
1,5,1,4.19,0.7976,0.8582
2,5,1,4.43,0.8147,0.9179
3,5,1,6.16,0.8029,0.8081
4,5,1,6.4,0.8552,0.9405
5,5,1,4.33,0.7399,0.7668
6,5,1,1.54,3.8745,3.7505
7,5,1,8.7,3.242,3.5122
8,5,1,2.79,3.0511,3.5746
9,5,1,3.26,2.3234,2.5291
10,5,1,6.35,2.7211,2.72
11,5,1,5.2,2.3916,2.3233
12,5,1,3.59,2.422,2.3473
13,5,1,5.95,2.5099,2.5925
14,5,1,7.54,2.0948,2.332
15,5,1,8.67,2.3033,2.2474
16,5,1,5.77,2.507,2.4862
17,5,1,4.67,2.2816,2.4138
18,5,1,7.5,4.8019,4.7407
19,5,1,4.0,4.3146,4.864
20,5,1,6.58,4.0354,4.1153
21,5,1,4.15,4.2745,4.5639
22,5,1,6.9,1.3533,1.5545
23,5,1,3.44,1.1347,1.3147
0,6,1,3.17,0.7695,0.8432
1,6,1,4.51,0.706,0.7617
2,6,1,7.1,0.7844,0.88
3,6,1,6.12,0.7641,0.8187
4,6,1,4.97,0.779,0.7618
5,6,1,4.98,0.7978,0.8416
6,6,1,1.87,3.8097,3.7865
7,6,1,2.96,3.3183,3.6286
8,6,1,0.44,3.7803,3.8314
9,6,1,7.92,2.4353,2.3505
10,6,1,4.72,2.4083,2.4269
11,6,1,7.12,1.9166,2.1839
12,6,1,7.56,1.9186,2.1614
13,6,1,8.61,2.1634,2.2211
14,6,1,9.0,2.4111,2.4907
15,6,1,3.28,2.2034,2.1588
16,6,1,8.6,2.262,2.2517
17,6,1,3.21,2.3833,2.3055
18,6,1,2.97,4.8818,4.6629
19,6,1,7.27,4.4697,4.892
20,6,1,6.28,4.1626,4.66
21,6,1,6.27,3.7662,4.3509
22,6,1,5.68,1.1513,1.3484
23,6,1,3.89,1.4633,1.4757
0,0,1,8.46,1.1795,1.1473
1,0,1,7.7,0.9598,1.0923
2,0,1,2.81,1.0521,1.1058
3,0,1,2.39,0.9021,1.0572
4,0,1,8.6,1.0718,1.2244
5,0,1,5.5,1.2536,1.3095
6,0,1,2.84,4.4731,5.2006
7,0,1,2.5,5.1387,5.2291
8,0,1,1.43,4.7139,4.864
9,0,1,7.12,3.4355,3.8141
10,0,1,5.31,3.2941,3.545
11,0,1,7.76,3.5546,3.6896
12,0,1,6.74,3.6477,3.9061
13,0,1,7.43,3.1189,3.0905
14,0,1,7.51,2.9737,3.4227
15,0,1,7.62,3.3658,3.4118
16,0,1,5.55,3.4433,3.8877
17,0,1,7.88,3.9252,3.8015
18,0,1,2.68,6.4316,6.4529
19,0,1,5.06,6.0172,6.3113
20,0,1,7.43,6.9058,6.8606
21,0,1,8.12,6.0644,5.8832
22,0,1,3.49,1.8644,2.1431
23,0,1,7.85,1.8092,2.1169
0,1,1,8.81,1.1575,1.1646
1,1,1,4.81,1.0689,1.1697
2,1,1,11.36,1.1399,1.2233
3,1,1,6.94,1.2505,1.3254
4,1,1,6.82,1.0817,1.1646
5,1,1,5.03,1.0885,1.1029
6,1,1,1.13,5.4826,6.1005
7,1,1,2.12,5.9875,5.8346
8,1,1,3.61,4.5305,5.1068
9,1,1,4.19,3.1327,3.4735
10,1,1,7.56,3.6303,3.4845
11,1,1,7.13,3.0492,3.4962
12,1,1,6.98,3.3375,3.3276
13,1,1,6.94,4.0174,3.8374
14,1,1,4.78,3.3542,3.8805
15,1,1,7.58,3.2043,3.3358
16,1,1,-0.0,4.4273,4.5486
17,1,1,3.88,2.8991,3.2189
18,1,1,4.38,6.8153,7.049
19,1,1,3.28,5.7135,6.1818
20,1,1,5.78,6.9365,6.9056
21,1,1,8.18,6.284,7.1888
22,1,1,4.55,1.6326,1.8082
23,1,1,2.85,1.7219,1.8462
0,2,1,6.11,1.1177,1.1266
1,2,1,7.32,1.2005,1.3079
2,2,1,6.06,1.0136,1.1275
3,2,1,4.36,1.3633,1.3267
4,2,1,3.86,1.1426,1.2051
5,2,1,4.66,1.1342,1.2105
6,2,1,5.15,5.2084,5.0059
7,2,1,7.33,5.383,6.0982
8,2,1,6.18,4.606,5.1142
9,2,1,6.88,3.286,3.1799
10,2,1,8.77,3.3862,3.5908
11,2,1,7.58,3.1298,3.5268
12,2,1,1.14,3.7611,3.7674
13,2,1,3.55,3.3179,3.2084
14,2,1,4.68,2.8676,3.1221
15,2,1,6.03,3.6037,3.6031
16,2,1,5.82,3.3713,3.258
17,2,1,3.0,3.0759,3.6168
18,2,1,2.27,5.3109,6.1582
19,2,1,6.85,5.2135,5.9213
20,2,1,4.79,6.5506,6.333
21,2,1,3.0,6.4569,6.8528
22,2,1,4.18,1.9343,2.0479
23,2,1,5.93,1.704,1.9245
0,3,1,6.47,1.1152,1.2997
1,3,1,2.19,1.3129,1.313
2,3,1,6.21,1.1873,1.209
3,3,1,6.74,1.2269,1.3289
4,3,1,7.63,1.128,1.1721
5,3,1,6.53,1.2404,1.2026
6,3,1,6.65,5.2299,5.6941
7,3,1,4.17,4.7441,5.4209
8,3,1,5.68,5.613,5.7211
9,3,1,6.51,2.8344,3.0966
10,3,1,9.88,3.8163,3.7336
11,3,1,4.91,3.189,3.641
12,3,1,6.45,2.8983,3.1965
13,3,1,7.68,3.4237,3.8447
14,3,1,8.23,3.8181,3.6692
15,3,1,2.64,3.2122,3.2943
16,3,1,7.09,3.6267,3.8999
17,3,1,4.0,2.8826,3.0995
18,3,1,5.0,6.2636,6.672
19,3,1,6.61,6.4489,7.0522
20,3,1,6.95,6.3314,6.4841
21,3,1,3.48,6.2995,6.101
22,3,1,6.09,2.2636,2.1648
23,3,1,2.52,2.1324,2.127
0,4,1,9.89,1.0664,1.1875
1,4,1,5.3,1.0272,1.1393
2,4,1,5.89,1.0494,1.1741
3,4,1,4.09,1.152,1.3038
4,4,1,4.88,1.1638,1.1528
5,4,1,7.89,1.1012,1.0958
6,4,1,2.77,5.6211,5.3549
7,4,1,3.17,4.7132,5.0432
8,4,1,10.62,6.3517,6.0714
9,4,1,5.49,3.222,3.1959
10,4,1,7.12,3.7571,3.8233
11,4,1,4.2,3.3457,3.7793
12,4,1,6.45,3.3672,3.5438
13,4,1,8.59,3.8039,3.6283
14,4,1,9.45,3.146,3.16
15,4,1,8.95,3.1541,3.3474
16,4,1,6.23,3.0746,3.1232
17,4,1,2.81,3.8029,3.7415
18,4,1,3.41,5.8241,6.37
19,4,1,7.97,6.6095,6.9702
20,4,1,4.52,6.0979,5.9445
21,4,1,7.27,5.7019,5.9595
22,4,1,3.02,1.5177,1.7853
23,4,1,3.5,1.8269,2.1318
0,5,1,4.46,0.7998,0.9051
1,5,1,4.51,0.9261,0.9127
2,5,1,4.47,0.7855,0.9044
3,5,1,4.67,0.8005,0.8879
4,5,1,5.07,0.8409,0.8408
5,5,1,8.44,0.727,0.8134
6,5,1,3.91,3.5671,4.0824
7,5,1,5.95,3.1428,3.5509
8,5,1,7.06,3.9368,3.7562
9,5,1,5.55,2.3872,2.5403
10,5,1,7.22,2.791,2.6705
11,5,1,2.1,2.0289,2.2691
12,5,1,6.27,2.3189,2.326
13,5,1,5.03,2.5189,2.4799
14,5,1,10.6,1.8674,2.1716
15,5,1,4.7,2.2027,2.4419
16,5,1,3.0,2.6415,2.6017
17,5,1,3.48,2.1542,2.3826
18,5,1,5.83,4.1861,4.3477
19,5,1,3.4,3.4656,4.0762
20,5,1,2.25,4.8775,4.9808
21,5,1,6.23,4.6975,4.9762
22,5,1,7.02,1.3328,1.5463
23,5,1,8.87,1.2704,1.4288
0,6,1,3.15,0.6805,0.7824
1,6,1,2.35,0.7298,0.8244
2,6,1,4.8,0.8342,0.9126
3,6,1,3.58,0.6914,0.7503
4,6,1,5.6,0.7684,0.8623
5,6,1,4.63,0.8061,0.9266
6,6,1,2.24,3.4034,3.4946
7,6,1,2.61,4.1792,4.1756
8,6,1,7.58,4.0652,3.8741
9,6,1,3.2,2.1881,2.3919
10,6,1,5.85,2.5232,2.4952
11,6,1,5.9,2.5941,2.7314
12,6,1,7.17,2.3108,2.3897
13,6,1,7.05,2.0837,2.3448
14,6,1,10.1,2.5796,2.6653
15,6,1,10.37,2.2437,2.3963
16,6,1,5.14,2.7997,2.7009
17,6,1,4.66,2.2091,2.3496
18,6,1,8.03,4.426,4.5083
19,6,1,3.55,4.0022,4.3542
20,6,1,4.92,3.6277,4.1073
21,6,1,7.0,3.9546,4.4289
22,6,1,4.11,1.3395,1.4859
23,6,1,3.33,1.4965,1.5436
0,0,1,6.19,1.113,1.0711
1,0,1,4.25,1.2769,1.3221
2,0,1,5.05,1.0523,1.0671
3,0,1,5.73,1.0623,1.0636
4,0,1,0.66,1.1308,1.199
5,0,1,5.12,1.175,1.2826
6,0,1,4.95,5.1352,5.3324
7,0,1,5.34,5.0771,5.052
8,0,1,0.74,5.7872,5.5482
9,0,1,1.85,3.3715,3.7987
10,0,1,5.07,3.5309,3.8176
11,0,1,1.91,3.5594,3.7612
12,0,1,6.5,3.7935,3.905
13,0,1,9.47,3.1654,3.3908
14,0,1,4.64,3.8133,3.7476
15,0,1,7.81,3.4181,3.3352
16,0,1,4.59,3.3158,3.5172
17,0,1,7.38,3.1647,3.2172
18,0,1,4.96,5.736,6.6852
19,0,1,6.93,5.8346,6.5347
20,0,1,4.75,5.5259,6.014
21,0,1,2.85,6.7012,7.1978
22,0,1,5.82,1.9295,2.2277
23,0,1,6.32,2.1278,2.1783
0,1,1,3.4,1.0116,1.1801
1,1,1,3.95,1.3982,1.3421
2,1,1,5.65,1.1464,1.2593
3,1,1,4.78,1.1087,1.069
4,1,1,2.42,0.9394,1.0898
5,1,1,8.83,1.0535,1.1009
6,1,1,3.99,5.1947,5.589
7,1,1,4.24,5.1387,4.9233
8,1,1,6.72,4.6177,5.09
9,1,1,2.75,3.2333,3.1592
10,1,1,8.92,3.9479,3.7772
11,1,1,7.81,3.3899,3.8724
12,1,1,7.73,3.3922,3.5384
13,1,1,7.58,3.8611,3.8963
14,1,1,1.27,3.2115,3.4634
15,1,1,3.5,2.9587,3.4089
16,1,1,2.83,3.5081,3.7351
17,1,1,3.66,3.0804,3.5943
18,1,1,5.92,6.3138,6.0411
19,1,1,6.21,6.7675,6.5246
20,1,1,2.18,5.2352,6.0887
21,1,1,4.59,5.1731,5.8188
22,1,1,6.39,2.1044,2.198
23,1,1,4.98,1.8757,1.8569
0,2,1,9.46,1.3568,1.3049
1,2,1,7.74,0.9687,1.0821
2,2,1,6.99,1.2296,1.3284
3,2,1,4.57,1.0742,1.2117
4,2,1,7.8,1.2249,1.2441
5,2,1,6.65,1.1155,1.1218
6,2,1,6.49,5.3933,6.0764
7,2,1,3.26,5.2435,5.4969
8,2,1,4.83,5.6816,5.4164
9,2,1,2.51,3.2529,3.4815
10,2,1,7.72,3.2045,3.5781
11,2,1,6.71,3.2672,3.1227
12,2,1,10.03,3.6229,3.8333
13,2,1,6.35,3.6939,3.7707
14,2,1,6.21,3.3626,3.4397
15,2,1,11.6,3.3196,3.6101
16,2,1,5.71,3.7978,3.6444
17,2,1,3.29,3.4798,3.4371
18,2,1,5.08,6.4702,6.8691
19,2,1,2.15,6.0307,6.8825
20,2,1,7.25,6.6942,6.6978
21,2,1,4.62,5.3595,6.1452
22,2,1,2.09,1.6315,1.8341
23,2,1,5.9,2.0676,2.0141
0,3,1,5.66,1.1151,1.2599
1,3,1,6.76,1.0499,1.1938
2,3,1,5.36,1.0022,1.1448
3,3,1,3.75,1.0878,1.259
4,3,1,2.79,1.2808,1.2813
5,3,1,6.42,1.2018,1.1851
6,3,1,3.75,4.7063,5.3163
7,3,1,4.58,4.812,5.3575
8,3,1,4.91,4.7528,5.2543
9,3,1,5.14,3.1403,3.4486
10,3,1,3.01,3.2869,3.2782
11,3,1,5.57,3.4234,3.4983
12,3,1,3.13,3.812,3.919
13,3,1,6.53,3.8751,3.8432
14,3,1,9.16,2.6859,3.1482
15,3,1,2.73,3.2557,3.4952
16,3,1,5.62,3.6052,3.5438
17,3,1,9.02,3.2973,3.2691
18,3,1,1.63,7.4507,7.2719
19,3,1,4.48,5.7777,6.2104
20,3,1,4.79,6.9175,6.6658
21,3,1,1.44,5.991,6.5889
22,3,1,5.79,1.5971,1.8537
23,3,1,3.84,1.9862,1.9534
0,4,1,3.74,0.9836,1.1113
1,4,1,6.62,1.1692,1.1322
2,4,1,5.28,1.2673,1.2512
3,4,1,3.12,1.1843,1.1355
4,4,1,5.32,1.1049,1.1798
5,4,1,5.05,1.285,1.2794
6,4,1,4.97,5.3042,5.9424
7,4,1,5.06,5.867,5.5939
8,4,1,5.69,4.8782,5.1146
9,4,1,6.1,2.931,3.1548
10,4,1,3.76,3.0114,3.3921
11,4,1,5.03,3.2391,3.4244
12,4,1,4.18,3.5763,3.6195
13,4,1,7.76,3.1884,3.4259
14,4,1,7.48,3.2733,3.2865
15,4,1,6.89,2.9839,3.1621
16,4,1,2.16,3.0505,3.2357
17,4,1,6.02,3.8669,3.7487
18,4,1,4.23,5.5511,6.135
19,4,1,4.91,6.1605,5.9307
20,4,1,6.06,6.1879,6.0705
21,4,1,5.65,5.0956,5.7748
22,4,1,5.09,1.9055,2.1358
23,4,1,5.38,2.2111,2.1685
0,5,1,8.18,0.767,0.7494
1,5,1,2.56,0.8657,0.864
2,5,1,4.97,0.9304,0.8966
3,5,1,1.47,0.8491,0.8282
4,5,1,4.59,0.9019,0.8893
5,5,1,0.17,0.6849,0.763
6,5,1,5.11,3.7258,3.8549
7,5,1,4.64,4.2494,4.1151
8,5,1,7.55,4.0099,4.0685
9,5,1,4.53,2.2874,2.2669
10,5,1,3.48,2.6671,2.5804
11,5,1,11.77,2.3102,2.363
12,5,1,10.6,2.3771,2.7361
13,5,1,7.45,2.4219,2.6708
14,5,1,5.6,2.4906,2.3811
15,5,1,7.27,2.3426,2.3332
16,5,1,1.77,2.4666,2.5125
17,5,1,3.55,1.9404,2.1704
18,5,1,2.95,4.3843,4.6194
19,5,1,3.72,4.4852,4.3843
20,5,1,5.5,4.6101,4.4369
21,5,1,3.93,4.3478,4.8227
22,5,1,2.24,1.5229,1.4827
23,5,1,2.5,1.4188,1.4105
0,6,1,9.75,0.6721,0.7857
1,6,1,2.74,0.8621,0.8823
2,6,1,0.35,0.8,0.8464
3,6,1,4.09,0.7731,0.8683
4,6,1,4.67,0.8305,0.9028
5,6,1,6.28,0.8018,0.7676
6,6,1,5.25,3.8855,4.2398
7,6,1,6.21,3.1106,3.5837
8,6,1,2.2,3.6195,3.4539
9,6,1,7.25,2.2685,2.2339
10,6,1,5.94,2.5492,2.6114
11,6,1,6.82,2.416,2.5314
12,6,1,4.12,2.2236,2.4191
13,6,1,4.26,2.2768,2.2558
14,6,1,7.22,2.02,2.2463
15,6,1,8.01,2.3201,2.3502
16,6,1,3.45,2.2083,2.2017
17,6,1,4.02,2.2555,2.2834
18,6,1,3.76,4.1694,4.3262
19,6,1,7.2,4.4912,4.6093
20,6,1,9.54,4.1087,4.6849
21,6,1,2.65,4.6769,4.7408
22,6,1,2.89,1.2879,1.3821
23,6,1,2.57,1.226,1.3067
0,0,1,10.62,1.1422,1.1243
1,0,1,4.1,1.2043,1.275
2,0,1,8.41,1.2784,1.2345
3,0,1,2.31,1.1725,1.2083
4,0,1,7.92,1.0262,1.0767
5,0,1,0.13,1.2537,1.3214
6,0,1,7.43,5.7442,6.1101
7,0,1,5.6,4.455,5.1263
8,0,1,4.98,5.431,5.4102
9,0,1,1.3,2.9951,3.107
10,0,1,6.7,3.4195,3.8705
11,0,1,6.92,3.2813,3.354
12,0,1,6.18,3.3319,3.7181
13,0,1,7.95,3.5044,3.5002
14,0,1,8.92,3.5067,3.919
15,0,1,7.55,2.9698,3.2904
16,0,1,4.08,4.1027,3.9146
17,0,1,5.97,3.6963,3.6168
18,0,1,6.54,5.7706,6.038
19,0,1,3.24,5.8088,6.193
20,0,1,8.12,7.4832,7.2567
21,0,1,6.49,5.6129,6.1398
22,0,1,5.83,1.9299,2.0292
23,0,1,5.44,1.9557,1.956
0,1,1,3.2,1.0078,1.1512
1,1,1,6.76,1.2219,1.301
2,1,1,0.92,1.2247,1.2747
3,1,1,4.23,1.0157,1.1471
4,1,1,5.46,0.9797,1.1352
5,1,1,5.95,1.0453,1.2235
6,1,1,7.09,4.9004,5.0451
7,1,1,6.31,4.6888,5.4246
8,1,1,7.05,5.1293,6.0188
9,1,1,4.58,3.6853,3.8393
10,1,1,7.47,3.1918,3.2503
11,1,1,5.77,3.7291,3.5835
12,1,1,3.34,3.1504,3.3322
13,1,1,9.85,2.8083,3.2685
14,1,1,9.84,3.1395,3.6776
15,1,1,2.98,3.5199,3.621
16,1,1,5.4,3.732,3.7608
17,1,1,7.05,3.377,3.479
18,1,1,0.69,5.1772,5.7864
19,1,1,1.9,5.6358,6.3657
20,1,1,2.85,6.378,7.1641
21,1,1,6.21,5.949,5.7479
22,1,1,2.68,1.7704,1.7658
23,1,1,4.06,2.2917,2.1948
0,2,1,6.02,1.1,1.0785
1,2,1,7.38,1.151,1.233
2,2,1,7.05,1.098,1.1002
3,2,1,2.81,1.2912,1.2662
4,2,1,7.26,1.0975,1.2028
5,2,1,3.83,1.1706,1.2671
6,2,1,6.46,4.8363,5.1298
7,2,1,3.27,5.1878,5.8091
8,2,1,8.21,5.4478,5.3392
9,2,1,3.65,3.7269,3.5997
10,2,1,7.19,3.8359,3.6621
11,2,1,6.24,3.1064,3.1543
12,2,1,5.18,2.9673,3.1398
13,2,1,7.11,3.044,3.3195
14,2,1,5.69,3.5821,3.5169
15,2,1,8.82,3.8035,3.8805
16,2,1,3.83,3.6241,3.8235
17,2,1,4.46,3.1682,3.2083
18,2,1,5.97,5.4144,6.1671
19,2,1,4.14,6.0759,6.3664
20,2,1,4.39,5.6135,5.77
21,2,1,2.32,5.8721,6.7361
22,2,1,5.43,1.7689,1.8792
23,2,1,5.34,1.989,2.1489
0,3,1,4.5,1.0482,1.2269
1,3,1,5.4,1.0794,1.1553
2,3,1,2.28,1.3308,1.2815
3,3,1,5.46,1.2326,1.2292
4,3,1,5.78,1.2526,1.2828
5,3,1,3.94,1.1491,1.3385
6,3,1,3.67,4.891,5.562
7,3,1,2.19,5.2421,6.1437
8,3,1,2.78,5.4451,5.9523
9,3,1,2.47,3.6869,3.9016
10,3,1,6.98,3.499,3.8741
11,3,1,6.94,2.9502,3.1562
12,3,1,7.95,3.6569,3.502
13,3,1,7.26,3.5806,3.5038
14,3,1,4.06,3.3847,3.3148
15,3,1,7.41,3.6855,3.5258
16,3,1,4.01,2.8539,3.3332
17,3,1,5.23,3.2027,3.2482
18,3,1,6.99,6.1137,6.7727
19,3,1,6.85,6.2226,6.2642
20,3,1,3.47,6.4126,6.2836
21,3,1,6.32,6.2353,6.0536
22,3,1,2.75,1.6879,1.7787
23,3,1,7.32,1.8734,1.8745
0,4,1,5.11,1.3366,1.2884
1,4,1,1.38,1.2514,1.2606
2,4,1,2.11,1.0188,1.1544
3,4,1,5.76,1.0712,1.2096
4,4,1,6.93,1.0977,1.0601
5,4,1,4.61,0.9304,1.0674
6,4,1,1.04,4.4555,5.2016
7,4,1,3.85,4.7163,5.0947
